"genus","species","count","tree"
"Acer","platanoides",4700,"Acer platanoides"
"Malus","domestica",4258,"Malus domestica"
"Carpinus","betulus",4141,"Carpinus betulus"
"Platanus","x hispanica",3094,"Platanus x hispanica"
"Betula","pendula",3091,"Betula pendula"
"Acer","campestre",2964,"Acer campestre"
"Aesculus","hippocastanum",2390,"Aesculus hippocastanum"
"Fraxinus","excelsior",2364,"Fraxinus excelsior"
"Taxus","baccata",2337,"Taxus baccata"
"Pinus","sylvestris",2314,"Pinus sylvestris"
"Prunus","avium",2252,"Prunus avium"
"Acer","pseudoplatanus",2090,"Acer pseudoplatanus"
"Quercus","robur",1929,"Quercus robur"
"Robinia","pseudoacacia",1712,"Robinia pseudoacacia"
"Tilia","x europaea",1655,"Tilia x europaea"
"Picea","abies",1560,"Picea abies"
"Tilia","cordata",1435,"Tilia cordata"
"Pyrus","communis",1403,"Pyrus communis"
"Fagus","sylvatica",1370,"Fagus sylvatica"
"Populus","nigra",1198,"Populus nigra"
"Prunus","serrulata",863,"Prunus serrulata"
"Sophora","japonica",847,"Sophora japonica"
"Salix","alba",794,"Salix alba"
"Prunus","",757,"Prunus "
"Gleditsia","triacanthos",735,"Gleditsia triacanthos"
"Pinus","nigra",697,"Pinus nigra"
"Juglans","regia",694,"Juglans regia"
"Alnus","glutinosa",665,"Alnus glutinosa"
"Prunus","domestica",656,"Prunus domestica"
"Fraxinus","ornus",598,"Fraxinus ornus"
"Prunus","domestica domestica",518,"Prunus domestica domestica"
"Liquidambar","styraciflua",496,"Liquidambar styraciflua"
"Celtis","australis",488,"Celtis australis"
"Larix","decidua",428,"Larix decidua"
"Tilia","platyphyllos",420,"Tilia platyphyllos"
"Populus","tremula",417,"Populus tremula"
"Chamaecyparis","lawsoniana",414,"Chamaecyparis lawsoniana"
"Aesculus","x carnea",410,"Aesculus x carnea"
"Ulmus","",399,"Ulmus "
"Acer","cappadocicum",393,"Acer cappadocicum"
"Corylus","colurna",386,"Corylus colurna"
"Prunus","padus",343,"Prunus padus"
"Parrotia","persica",339,"Parrotia persica"
"Alnus","x spaethii",333,"Alnus x spaethii"
"Prunus","cerasifera",316,"Prunus cerasifera"
"Ginkgo","biloba",305,"Ginkgo biloba"
"Acer","saccharinum",295,"Acer saccharinum"
"Salix","caprea",266,"Salix caprea"
"Acer","palmatum",259,"Acer palmatum"
"Juglans","regia (S)",259,"Juglans regia (S)"
"Quercus","cerris",254,"Quercus cerris"
"Ilex","aquifolium",252,"Ilex aquifolium"
"Liriodendron","tulipifera",244,"Liriodendron tulipifera"
"Paulownia","tomentosa",238,"Paulownia tomentosa"
"Cydonia","oblonga",233,"Cydonia oblonga"
"Picea","omorika",232,"Picea omorika"
"Koelreuteria","paniculata",221,"Koelreuteria paniculata"
"Tilia","tomentosa",221,"Tilia tomentosa"
"Alnus","incana",220,"Alnus incana"
"Populus","x canadensis",219,"Populus x canadensis"
"Magnolia","kobus",208,"Magnolia kobus"
"Cornus","mas",203,"Cornus mas"
"Crataegus","x lavalleei",194,"Crataegus x lavalleei"
"Sorbus","intermedia",193,"Sorbus intermedia"
"Ulmus","minor",191,"Ulmus minor"
"Malus","spec.",190,"Malus spec."
"Fraxinus","angustifolia",177,"Fraxinus angustifolia"
"Populus","alba",168,"Populus alba"
"Catalpa","bignonioides",165,"Catalpa bignonioides"
"Sorbus","aucuparia",159,"Sorbus aucuparia"
"Salix","spec.",158,"Salix spec."
"Quercus","rubra",153,"Quercus rubra"
"Cercidiphyllum","japonicum",151,"Cercidiphyllum japonicum"
"Prunus","domestica insititia",151,"Prunus domestica insititia"
"Pinus","mugo",147,"Pinus mugo"
"Picea","orientalis",146,"Picea orientalis"
"Ostrya","carpinifolia",141,"Ostrya carpinifolia"
"Tilia","spec.",139,"Tilia spec."
"Thuja","occidentalis",136,"Thuja occidentalis"
"Ailanthus","altissima (w)",113,"Ailanthus altissima (w)"
"Ailanthus","altissima (m)",112,"Ailanthus altissima (m)"
"Betula","utilis",111,"Betula utilis"
"Thuja","plicata",107,"Thuja plicata"
"Gymnocladus","dioica",103,"Gymnocladus dioica"
"Ulmus","glabra",102,"Ulmus glabra"
"Celtis","occidentalis",98,"Celtis occidentalis"
"Amelanchier","lamarckii",97,"Amelanchier lamarckii"
"Prunus","domestica syriaca",95,"Prunus domestica syriaca"
"Aesculus","flava",89,"Aesculus flava"
"Obstbaum","",89,"Obstbaum "
"Acer","tataricum",88,"Acer tataricum"
"Platanus","orientalis",86,"Platanus orientalis"
"Magnolia","spec.",83,"Magnolia spec."
"Quercus","petraea",83,"Quercus petraea"
"Acer","japonicum",79,"Acer japonicum"
"Ailanthus","altissima",77,"Ailanthus altissima"
"Cedrus","libani",77,"Cedrus libani"
"Crataegus","x media",77,"Crataegus x media"
"Cornus","alternifolia",74,"Cornus alternifolia"
"Prunus","x subhirtella",74,"Prunus x subhirtella"
"Metasequoia","glyptostroboides",73,"Metasequoia glyptostroboides"
"Cercis","siliquastrum",70,"Cercis siliquastrum"
"Crataegus","laevigata",70,"Crataegus laevigata"
"Pterocarya","fraxinifolia",70,"Pterocarya fraxinifolia"
"Sorbus","aria",69,"Sorbus aria"
"Magnolia","x soulangeana",68,"Magnolia x soulangeana"
"Tsuga","canadensis",68,"Tsuga canadensis"
"Larix","kaempferi",66,"Larix kaempferi"
"Ulmus","spec.",64,"Ulmus spec."
"Alnus","cordata",63,"Alnus cordata"
"Acer","monspessulanum",62,"Acer monspessulanum"
"Acer","rubrum",60,"Acer rubrum"
"Fraxinus","pennsylvanica",60,"Fraxinus pennsylvanica"
"Crataegus","monogyna",59,"Crataegus monogyna"
"Zelkova","serrata",59,"Zelkova serrata"
"Abies","alba",56,"Abies alba"
"Abies","nordmanniana",55,"Abies nordmanniana"
"Cornus","kousa",55,"Cornus kousa"
"Quercus","frainetto",55,"Quercus frainetto"
"Quercus","palustris",55,"Quercus palustris"
"Chamaecyparis","obtusa",54,"Chamaecyparis obtusa"
"Prunus","sargentii",52,"Prunus sargentii"
"Prunus","spec.",52,"Prunus spec."
"Acer","x freemanii",51,"Acer x freemanii"
"Salix","x sepulcralis",50,"Salix x sepulcralis"
"Acer","truncatum",49,"Acer truncatum"
"Prunus","cerasus",49,"Prunus cerasus"
"Sequoiadendron","giganteum",49,"Sequoiadendron giganteum"
"Acer","negundo",48,"Acer negundo"
"Davidia","involucrata",47,"Davidia involucrata"
"Juglans","nigra",44,"Juglans nigra"
"Chamaecyparis","spec.",42,"Chamaecyparis spec."
"Prunus","armeniaca",42,"Prunus armeniaca"
"Prunus","spinosa",42,"Prunus spinosa"
"Castanea","sativa",41,"Castanea sativa"
"Malus","",41,"Malus "
"Morus","alba",41,"Morus alba"
"Sorbus","torminalis",41,"Sorbus torminalis"
"Pinus","heldreichii",39,"Pinus heldreichii"
"Prunus","domestica italica",39,"Prunus domestica italica"
"Pyrus","calleryana",39,"Pyrus calleryana"
"Ficus","carica",38,"Ficus carica"
"Aesculus","parviflora",37,"Aesculus parviflora"
"Amelanchier","arborea",37,"Amelanchier arborea"
"Betula","nigra",36,"Betula nigra"
"Aesculus","spec.",34,"Aesculus spec."
"Picea","pungens",33,"Picea pungens"
"Sambucus","nigra",33,"Sambucus nigra"
"Sorbus","domestica",32,"Sorbus domestica"
"Ulmus","x hollandica",31,"Ulmus x hollandica"
"Taxus","baccata (m)",30,"Taxus baccata (m)"
"Castanea","sativa (S)",29,"Castanea sativa (S)"
"Laubbaum","",29,"Laubbaum "
"Populus","simonii",28,"Populus simonii"
"Pterocarya","rhoifolia",28,"Pterocarya rhoifolia"
"Populus","balsamifera",27,"Populus balsamifera"
"Populus","spec.",27,"Populus spec."
"Taxus","baccata (w)",27,"Taxus baccata (w)"
"Chamaecyparis","nootkatensis",26,"Chamaecyparis nootkatensis"
"Populus","x canescens",26,"Populus x canescens"
"Amelanchier","spec.",25,"Amelanchier spec."
"Crataegus","spec.",25,"Crataegus spec."
"Larix","x marschlinsii",25,"Larix x marschlinsii"
"Prunus","lusitanica",25,"Prunus lusitanica"
"Prunus","mahaleb",25,"Prunus mahaleb"
"Salix","viminalis",24,"Salix viminalis"
